,Date,Time,Location,Operator,Type,Flight,Aboard,Fatalities,Ground,Summary
119,21 07 1971,22:15:00,"Anchorage, Alaska",Anchorage Helicopter - Air Taxi,Bell 206,,3,3,0,"The aircraft took off from a roadside lodging, hit wires and crashed and burned. Pilot failed to see and avoid obstruction."
120,24 07 1971,,"Near Bamako, Mali",Air Ivoire,Douglas DC-3,,6,6,0,Crashed into high terrain during a right turn on takeoff at night.
121,25 07 1971,,"Manila, Philippines",Pan American World Airways,Boeing 707-321CF,,4,4,0,"While on a VOR/DME approach to Manila runway 24, the aircraft struck Mount Kamunay at an altitude of 2,525 feet, 20 miles east/northeast of the Manila VOR. The probable cause was improper crew coordination, which caused a premature descent."
122,25 07 1971,,"Near Irkutsk, Russia",Aeroflot,Tupolev TU-104B,,126,97,0,While landing at Irkutsk Airport the aircraft landed short of the runway after an excessive rate of sink. The left wing separated and the plane burst into flames.
123,30 07 1971,14:00:00,"Near Morioko, Japan",All Nippon Airways /  Japanese Air Force,Boeing B-727-281 / Air Force F86F,58,164,163,0,"A Japan Air Self Defense Force F-86F fighter collided with the B-727. Both aircraft crashed, but the fighter pilot ejected safely. All one hundred sixty-two aboard the 727 were killed. The fighter pilot and his captain was indicted for involuntary homicide. The fighter pilot was acquitted but the captain was convicted and received 3 years in jail for not providing sufficient supervision of his wingman."
124,30 07 1971,14:29:00,"San Francisco, California",Pan American World Airways,Boeing B-747-121,845,218,0,0,The aircraft struck approach lights at the departure end of runway during takeoff. Miscalculation of available runway length and takeoff reference speed by crew. Erroneous information from the dispatcher. The aircraft was named 'Clipper America.'
125,30 07 1971,15:00:00,"Near Pau, France",Military - French Air Force,Nord 2501 Noratlas,,39,37,0,"The plane, carrying parachute trainees, crashed in the flatlands of the Pyrenees during a final approach and after experiencing an engine fire. Two escaped by parachuting out of the plane before it crashed."
126,08 07 1971,,"Irkutsk, USSR",Aeroflot,Tupolev TU-104,,100,100,0,A few seconds after taking off the airliner lost altitude and slammed into the tarmaexploding in flames.
127,08 12 1971,14:27:00,"Valdez, Alaska",Trans Alaska Helicopter - Air Taxi,Sikorsky S-55B,,2,2,0,The helicopter crashed after the failure of the main rotor. Inadequate inspection and maintenance.
128,18 08 1971,09:40:00,"Near Pegnitz, West Germany",Military - U.S. Army,Boeing Vertol CH-47A (helicopter),,37,37,0,"The helicopter, carrying American troops to an exercise, crashed into a hayfield and exploded in flames. Fatigue failure of the rotor blade led to its failure and structural failure of the aircraft."
129,19 08 1971,20:40:00,"Augusta, Maine",Downeast Airlines,Piper PA-31,,8,3,0,"Crashed in dense fog while making an approach to Agusta State Airport. Discontinue VOR approach, attempted to maintain visual flight in IFR conditions at an altitude below obstructing terrain."
130,12 09 1971,07:00:00,"Chinnamanur, India",Indian Airlines,HAL-748-224 Srs.2,,31,21,0,Strayed off course and flew into a mountain.
131,09 04 1971,11:15:00,"Near Juneau, Alaska",Alaska Airlines,Boeing B-727-193,1866,111,111,0,The aircraft crashed into the slopes of Chikat Mountain in rain and fog while attempting a non-precision instrument landing at Juneau Municipal Airport. Display of misleading navigation information which resulted in the premature descent below obstacle clearance altitude. The crew didn't use all available navaids to check the position of the aircraft.
132,09 06 1971,,"Near Hasloh, Germany",Pan International,BAC One-Eleven 515FB,,121,22,0,The aircraft collided with a bridge shearing off both wings after a double engine failure during takeoff.  A forced landing was attempted on a roadway. The water-injection system to cool the engines during takeoff was inadvertently filled with kerosene instead of water.
133,15 09 1971,00:16:00,"Jackson, Mississippi",C and C Aviaiton - Air Taxi,Aero Commander 560-A,,5,5,0,Collided with trees and crashed on final approach after experiencing engine failure. Fuel exhaustion. Mismanagement of fuel.
134,16 09 1971,,"Presevo, Russia",Yemen Airlines,Douglas DC-3,,5,5,0,Crashed while taking off. Icing.
135,16 09 1971,,"Kiev, Ukraine, USSR",Malev Hungarian Airlines,Tupolev TU-134A,,49,49,0,"While on approach to Kiev,   generator failed forcing the crew to switch to batteries. After two aborted attempts to land in fog, the plane crashed and broke up."
136,28 09 1971,,"Sena Madureira, Brazil",Cruzeiro,Douglas DC-3,,32,32,0,The aircraft tried to return to the airport after an engine fire but the right wing struck trees and it crashed in the Amazon jungle.
137,10 02 1971,11:10:00,"Near Aarsele, West Vlaanderen, Belgium",British European Airways,Vickers Vanguard 951,706,63,63,0,"While en route a distress message was received from the aircraft after which it crashed and burst into flames.  The elevators and tailplane were destroyed when the rear pressure bulkhead ruptured at 19,000 feet. The airplane rapidly nosed down and crashed. The bulkhead was weakened by corrosion from a suspected leak in the lavatory."
138,13 10 1971,,"Moscow, Russia",Aeroflot,Tupolev TU-104B,,20,20,0,Crashed on takeoff
139,16 10 1971,09:45:00,"Colorado City, Arizona",SceniAir Lines,Cessna 402,,10,10,0,The sightseeing plane crashed in rain/snow.  Continued VFR flight into adverse weather conditions. Pilot transmitted he was turning around do to weather conditions.
140,16 10 1971,13:17:00,"Hot Springs, Virginia",Alpena Flying Service - Air Taxi,Swearingen SA26AT,,6,6,0,The pilot descended below minima on a third attempt at landing with no glideslope approach and hit the ground 150 feet short and right of the runway. Improper IFR operation.
141,17 10 1971,,"San Vicente del Caguan, Colombia",Aerolineas TAO,Douglas C-47A,,22,20,0,"The aircraft crashed and burned short of the runway. A girl, 6, and a boy 3, were the only survivors."
142,21 10 1971,11:20:00,"Peoria, Illinois",Chicago Southern Airlines,Beech E18S,,16,16,0,Collided with wires/poles while attempting to land. Improper IFR operation. Descended below MDA.
143,23 10 1971,,"Near Qui Nhon, South Vietnam",Military - Vietnamese Air Force,Douglas C-47,,31,31,0,Crashed after flying during a typhoon.
144,24 10 1971,22:15:00,"Bath, Pennsylvania",Monmouth Airways,Beechcraft B99,,8,4,0,Collided with trees while attempting to land. Improper IFR operation. Descended below MDA. Pilot fatigue.
145,11 09 1971,05:40:00,"Off Livorno, Italy",Military - Royal Air Force,Lockheed C-130K Hercules,,52,52,0,"The plane, carrying paratroopers, crashed into the Ligurian Sea about 20 miles west of Pisa shortly after taking off from San Giusto Airport. In-flight structural failure. Cause undetermined."
146,11 10 1971,,"Off Padang, Philippines",Merpati Nusantara Airlines,Vickers Viscount 828,,69,69,0,The plane crashed into the sea while on approach to Pandang.
147,11 12 1971,,"Vinnitsa, Russia",Aeroflot,Antonov AN-24,,47,47,0,The plane crashed during a go-around.
148,21 11 1971,,"Near Penghu Island, Taiwan",China Airlines (Taiwan),Sud Aviation SE-210 Caravelle III,,25,25,0,The plane crashed into the sea while on a flight from Taipei to Hong Kong.  Detonation of an explosive device.
149,28 11 1971,13:30:00,"Near Hue, South Vietnam",Military - U.S. Army,Boeing Vertol CH-47C,,34,34,0,Crashed into a mountain after attempting to fly through a lowland area due to deteriorating weather conditions.
150,12 01 1971,,"Saratov, Russia",Aeroflot,Antonov AN-24,,57,57,0,Crashed short of runway during approach.
151,12 04 1971,13:46:00,"Raleigh, North Carolina",Eastern Air Lines,Douglas DC-9-31 /Cessna 206,,29,2,0,Midair collision.  The DC-9 descended onto the Cessna. Two killed aboard the Cessna. The DC-9 landed with no one aboard injured. Inadequacy of ATC facilities and services in the terminal area.
152,22 02 1991,,"Cazombo, Angola",Fuerza Area Angolaise,Antonov AN-26,,47,47,0,Shot down by surface-to-air missile launced by UNITA rebels.
153,21 12 1971,,"Sofia, Bulgaria",Balkan Bulgarian Airlines,Ilyushin IL-18B,,73,28,0,Crashed in adverse weather conditions shortly after taking off.
154,24 12 1971,12:36:00,"Near Puerto Inca, Huanuco, Peru",Lineas Aereas Nacionales SA (Peru),Lockheed 188A Electra,508,92,91,0,"The aircraft was struck by lightning after it entered an area of thunderstorms and heavy turbulence. The lightning caused a fire which led to the separation of the right wing and part of the left wing. The aircraft crashed in mountainous terrain in the jungle. One German passenger, a female teenager, survived and was found after trekking through the jungle for 9 days. Juliane Koepcke had a broken collarbone and was unconscious for an unknown amount of time but had survived the crash still strapped in her seat. When she came to, she set out in vain to find her mother. Maria Koepcke, her mother, a leading Peruvian ornithologist, was dead. Rescue crews searched for the aircraft without success. Koepcke would have to save herself.  Koepcke found a stream and began nine days of wading through knee-high water and fighting off swarms of insects and leeches. On the ninth day, she found a canoe and shelter. Then she waited. Hours later, local lumbermen returned and found her. They tried to get her to eat but she was quite sick and refused. Insects had buried eggs in her skin and they were beginning to hatch. One of the men poured gasoline on her and, as she told the London Daily Mail, 'I counted 35 worms that came out of my arms alone.' The men offered what assistance they could provide but it was too late in the day to start the journey back to civilization; she slept one more night in the jungle before the men took her on the final seven hour journey via canoe down the river to a lumber station where she was airlifted to a hospital."
155,01 06 1972,,"Near Chetumal, Mexico",SAESA,Hawker Siddeley HS-748-230 Srs. 2A,,23,23,0,The aircraft crashed following a fire onboard while en route.
156,01 07 1972,22:00:00,"Sierra de Atalayasa, Spain",Iberia Airlines,Sud-Aviation Caravelle VI-R,602,104,104,0,The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach.
157,18 01 1972,01:04:00,"Chambers, Nebraska",Kime Flying Service - Air Taxi,Piper PA-23,,3,3,0,"The pilot feathered the right engine for undetermined reasons, failed to maintain safe altitude and crashed into a telephone pole and wires."
158,21 01 1972,,"Near Adana, Turkey",Turkish Airlines (THY),MDonnell Douglas DC-9-32,,8,1,0,"After diverting to Adana because of pressurization problems, the aircraft hit the ground downwind on the second approach and caught fire."
159,21 01 1972,,"Near Funza, Colombia",Lineas Aรฉreas la Urraca,Vickers Viscount 837,,20,20,0,Crashed shortly after leaving Bogota after an explosion aboard.
160,21 01 1972,10:30:00,"Near Betania, Colombia",SATENA,Douglas C-47,,39,39,0,The aircraft struck a mountain in rain and thunderstorms operating as a non-scheduled passenger airliner run by the military.
161,26 01 1972,16:10:00,"Near Hermsdorf, Czechoslovakia",JAT Yugoslav Airlines,McDonnell Douglas DC-9-32,JU 367,28,27,0,"The plane crashed after the detonation of a bomb in the forward cargo hold. A flight attendant,  22 year old Vesna Vulovic, fell 33,330 feet in the tail section and although she broke both legs and was temporarily paralyzed from the waist down, she survived. She was in a coma for 27 days and it took 16 months for her to recover. The bomb was believed to be placed on the plane by a Croatian extremist group. On January 27, 1997, 25 years after the crash, Vesna Vulovireturned to the crash-site and was reunited with the firemen who pulled her from the wreckage and the medical team who looked after her in the hospital."
162,02 01 1972,,"Near Tegal, Indonesia",PENAS,Douglas DC-6,,9,6,0,Due to a compass error the aircraft became lost and crashed during a forced landing due to fuel starvation.
163,02 04 1972,,"Pha Khao, Laos",Air America,de Havilland Canada C-7A Caribou,,38,1,0,Crashed while attempting to land. Overloaded
164,02 04 1972,19:00:00,"BattleMountain, Nevada",Clarkes Thunder - Air Taxi,Beechcraft S35,,2,2,0,Pilot flying too high and suffered hypoxia. Pilot had emphysema and advanced arteriosclerosis. No oxygen aboard the aircraft.
165,02 05 1972,,"Near Valledupar, Colombia",TAC Colombia,Fairchild F-27,772,19,19,0,Disappeared while en route. Wreckage found 3 days later.
166,02 11 1972,13:20:00,"Near Vientiane, Laos",Royal Air Lao,Douglas DC-4,,23,23,0,Shot down while en route. Aircraft not found.
167,16 02 1972,02:55:00,"Jackson, Mississippi",Hankins Airways - Air Taxi,Beechcraft D 18S,,2,2,0,The aircraft failed to maintain flying speed after a engine failure for undetermined reasons. Ice seen on aircraft before and after the accident.
168,19 02 1972,,"Little Rock, Arkansas",Military - U.S. Air Force,Lockheed C-130E Hercules,,7,5,0,Midair collision with a T-37 trainer while on approach to Little Rock. Both pilots on the trainer ejected safely.
